@relation play_store_comments
@attribute ps_class {mauvais, neutre, bien}
@attribute text String
@data
bien, 'superbe commentaire suivre|être content application dommage mettre musique avoir musique indisponible '
bien, 'être application être superbe pouvoir faire sorte vidéo merci '
bien, 'application être être simple servir trouver être faire film hésiter application hésiter la '
bien, 'super application être génial aimer servir jour mériter '
bien, 'trop venir avoir instant '
bien, 'rien avoir sire penser pli saurer vider '
bien, 'commentaire seul problème être pouvoir avoir musique vouloir '
mauvais, 'dommage application avoir air falloir payer|payer être faire an avoir carte paiement utiliser '
bien, 'adorer avoir dire conseiller avoir inventer '
bien, 'commentaire adorer avoir dire musique gratuit être longue '
bien, 'permettre faire vidéo génial passer voir compte installer '
bien, 'adorer application être parfaire regarder vidéo devenir voir musique photo continuer juste image devenir vert embêter faire vert photo marche embêter essayer|essayer changer avoir '
bien, 'tablette avoir aimer être '
bien, 'commentaire adorer pub adorer '
neutre, 'partager appuyer partager mettre '
bien, 'être entendre musique nul '
neutre, 'commentaire pouvoir mettre photo fermer devoir recommencer mettre photo fait '
bien, 'avoir adorer être super cool être '
bien, 'servir adorer pouvoir mettre photo transformer genre film adorer '
bien, 'bon application '
bien, 'super marcher portable '
bien, 'parfait parfaire faire diapo souvenir aimer '
bien, 'cool cool '
bien, 'commentaire adorer être dommage musique durer second|seconde '
bien, 'super commentaire super vouloir faire dossier ami '
bien, 'adorer être cool musique vouloir pouvoir choisir photo cool '
bien, 'trop génial avoir décrire '
bien, 'super être juste super dire '
neutre, 'commentaire utiliser pouvoir être parfait problème noir blanc photo origine être détériorer montage vidéo donner aspect verdâtre '
bien, 'adorer utiliser avoir sortie ami génial '
bien, 'cool trop cool musique '
bien, 'adorer conseiller '
bien, 'total être utile '
bien, 'super commentaire seul petit bémol pouvoir prendre musique super '
bien, 'adorer application être cool facile utiliser '
mauvais, 'soul image ajouter pourcentage afficher arriver avoir moment chargement arrêter devoir recommencer marche avoir faire foi|fois recommencer '
bien, 'adorer application être génial permettre faire vidéo photo avoir trouver application conseil application avoir monde '
bien, 'adorer adorer servir problème être arriver publier vidéo superbe '
bien, 'application être superbe montage faire ami superbe application être recommander '
bien, 'servir temps être adorer être mettre étoile '
bien, 'commentaire fonctionnement '
bien, 'commentaire application top même concurrence gratuit arriver obliger politique tarifaire agressif continuer '
bien, 'top top servir application an début note problème cher '
bien, 'juste parfait réglage avoir faire limite vitesse conseiller liège '
bien, 'commentaire fonctionner alerte passer voiture son radar autre pourquoi étoile '
mauvais, 'problème gênant problème indication vocal continuer zone relancer application être juste vitesse limiter zone '
bien, 'habillage certain lenteur démarrage système mettre bon minute être opérationnel connecter être indiquer application être correct critère position restrictif falloir précision positionnement message apparaître juste dérangeant interface vieillot son graphique préférer précédent reconnaître interaction être rapide contre fonctionner concerner connexion système voiture golf alerte sonore être transmettre baffle voiture utilisation écouter musique problème musique durée bouchon indication précis nature positionnement perturbation entendre radar faire indispensable voyager voiture interface graphique sonore être améliorer mettre étoile '
mauvais, 'incompatible être inconfortable utiliser téléphone avoir alerte mettre plan être bouchon affiche permanence signaler ralentissement être train chercher autre route fonction manquant désactiver servir calculer route servir rien autoriser alerte arrière plan forcer application plan avoir limitation vitesse jour zone radar fermer application coyote discours être mettre arrière plan avoir maximum éclaireur être utilisateur être priver idéal être tout zone risque coyote sembler vouloir proposer service '
bien, 'incontournable commentaire ergonomie moyen bouton être placer '
neutre, 'limitation vitesse devenir gratuit coyote créditer compte moi|mois abonnement avoir préférer être rembourser '
neutre, 'long démarrage commentaire dernier mise jour long démarrage rester bloquer écran vert message préventif être parfait '
bien, 'cool bon application personne faire déplacement bon moyen garder être point utilisateur être '
mauvais, 'indescriptible limitation vitesse faux nombre éclaireur être tronquer mode portraire écran dire éclaireur paysage tourner téléphone éclaireur '
bien, 'parfaire dernier information être clair alerte être parfaire communauté être top dire être gratuit utiliser trafic heure pointe oublier être gratuit être produit être entreprise français heure plaindre avoir chômage abonnement servir paye '
bien, 'meilleur avertisseur radar légal avertisseur radar être autoroute route secondaire gros communauté application agréable fonctionnel posséder urgence '
mauvais, 'commentaire dernier programme planter office avoir ouverture arranger possible '
bien, 'parfait utiliser application an suivre|être satisfaire noter meilleur application aide conduite meilleur communauté '
mauvais, 'fonctionner dernier mise avoir jour application ouvrer|ouvrir sembler savoir venir problème '
bien, 'problème excellent application utiliser quotidien être pratique problème dernier mise jour perdre être énervant merci dire régler problème avoir installer réinstaller être pareil étoile problème être résoudre édit problème application inutilisable essayer foi|fois signal merci faire correction '
bien, 'fiabilité commentaire seul communauté important fiable agglomération essayer genre part temps seul route avertisseur '
bien, 'attendre version devoir sortir novembre '
bien, 'référence commentaire être juste meilleur grand communauté genre efficacité '
bien, 'merci commentaire être fait fini avoir autre mise jour '
neutre, 'application rentabiliser achat dernier mise jour application dire trouver autre application fonctionner merci régler '
mauvais, 'nouveau version installer commentaire essayer installer nouveau version être ancien installer '
mauvais, 'commentaire mise jour application fonctionner arrêt automatique application explication falloir résoudre '
bien, 'parfait fonctionner liaison voiture poser problème '
bien, 'trou raquette être référence manquer danger fixe danger feu rouge être fiabilité limite vitesse zone être aléatoire devoir danger '
bien, 'indispensable commentaire meilleur assistant aide conduite avoir tester simple efficace dire concurrent gratuit être pratique avoir tester être faux '
bien, 'bon application application apporter simple détection radar '
neutre, 'faire taf commentaire prendre abo revendiquer communauté million être abonner dire être utile prendre gratuit être gratuit pouvoir revendiquer million utilisateur monde avoir tester aller gratuit '
bien, 'super information temps réel grand précision éclaireur être performant sérénité volant être seul petit bémol alerte sonore prendre dessus musique '
bien, 'super commentaire meilleur application genre an guider '
bien, 'commentaire coyote fonctionner bien point avoir problème voiture avoir option flux paramètre sélectionner notification son revenir fonctionner '
bien, 'super efficace utile '
neutre, 'problème son avoir kit voiture son passer haut parleur être prioritaire son coup alerte être audible compter sacrifier lecture vocal appel main libre corriger laisser tenter '
mauvais, 'arrêter commentaire nouveau version planter mention pays supporter être vouloir dire tenter dialoguer chat site avoir réponse continuer filer concurrence '
mauvais, 'plante coup dernier fonctionner tout planter ouverture avoir réinstaller marche pouvoir faire chose '
bien, 'bon service client lent '
bien, 'idéal utilisation merci coyote merci communauté avoir réclamation supprimer rond prendre visibilité mode carter paysage afficher vitesse ancien affichage devoir convenir '
mauvais, 'pub moche application lancer application pouf pub plein page bandeau pub annonce apparaître permanence recherche vidéo préférer utiliser version pub être vidéo '
mauvais, 'être juste faire fric pub durer avoir mourir '
neutre, 'commentaire être être pouvoir choisir qualité rame débit pensé faire '
neutre, 'pub dommage avoir pouvoir être étoile '
mauvais, 'saturer pub pub longue vidéo pouvoir '
neutre, 'être fluide pub constant rendre application parfaire être '
mauvais, 'pub ergonomie pub impossible tache fond enregistrement dater inclure abonné vendre boite '
mauvais, 'pub envahissant être titre remettre étoile avoir dégager bandeau bas remettre tri vidéo date pertinence durée '
bien, 'application être génial commentaire avoir pouvoir regarder série préféré '
mauvais, 'commentaire mauvais application plein accuser grand retard '
bien, 'intéresser vouloir mettre '
mauvais, 'pub avoir pouvoir être pub longue parler utilisation retourner '
bien, 'excellent contenu fonction rester excellent '
mauvais, 'nul être slogan meilleur application cul pub longue temps pitoyable '
mauvais, 'faire mise jour commentaire dire nouveauté mise jour rajouter publicité avoir impression avoir jeu bourrer pub '
mauvais, 'pub être obliger rajouter bannière pub pub vidéo suffire '
bien, 'super meilleur réception mettre jour être diminution problème publicité pop pop annoncer jeu vidéo novembre '
mauvais, 'pub pub pub avoir publicité impossible avoir passer envahir dommage '
bien, 'commentaire avoir part pub nul parfait '
mauvais, 'pub commentaire pub même lecteur vidéo étoile fonction synchronisation vidéo '
mauvais, 'pub taire incroyable changement application top devenir usine pub dommage pub passer sorte pub différent un apparaître plein écran autre écran permanence dernier vidéo être longue chargement longueur vidéo souhaiter voir vidéo vouloir pouvoir passer application être retirer '
bien, 'bon résumer monde vidéo smart bon vidéo '
neutre, 'pub taire commentaire enlever étoile pub incessant second|seconde avoir vouloir visionner vidéo même durer voir petit devenir inadmissible être chiant téléphone portable vidéo officiel '
neutre, 'pub pub vidéo avoir pub milieu vidéo '
bien, 'bon application hésiter '
mauvais, 'commentaire marche avoir pub '
neutre, 'pub merde pub coup pouvoir vidéo mettre mettre vidéo '
mauvais, 'nul commentaire live fonctionner voir publicité '
neutre, 'pub bon marcher pub longue vidéo gâcher plaisir '
mauvais, 'lenteur mettre temps fou ouvrir '
neutre, 'commentaire aimer foi|fois '
bien, 'actualité bon tenir courant actualité '
mauvais, 'pub pub être longue dommage '
mauvais, 'pub verrouiller visionner petit vidéo second|seconde falloir supporter publicité second|seconde pouvoir fermer second|seconde fort compliquer truc devoir être simple '
mauvais, 'pénible commentaire sommer|être content cause pub application téléphone union faire force '
bien, 'rien dire être stable rapide impossible mettre étoile aimer '
mauvais, 'chose régler pub bannière être horrible regarder vidéo être agréable pouvoir avoir vrai plein impossible impossible régler qualité défaut mettre auto lire coupure foi|fois image figer vidéo continuer son préférer regarder vidéo personne suivre|être batailler '
mauvais, 'pub pub pire plupart jeu gratuit chance faire recherche avoir pub '
neutre, 'attention avoir pub convivial in '
bien, 'être vrai avoir pub tuber application fonctionner merci '
bien, 'vrai pratique simple fiable complet apporter expérience merci '
bien, 'bon suivre achat ligne magasin caractéristique produit manquer primordial facture correspondant achat '
mauvais, 'commentaire avoir voir notation juste temps essayer|essayer '
bien, 'super avoir dire aimer '
bien, 'efficace commentaire être titre '
mauvais, 'commentaire '
bien, 'commentaire '
bien, 'commentaire trouver meilleur prix service comprendre '
mauvais, 'commentaire savoir pouvoir acheter chose jour voir prix être '
mauvais, 'commentaire option filtrer marcher nouveau mise jour reste aimer avis client détail article '
mauvais, 'super manquer optimisation meilleur '
bien, 'impression venir avoir peine joindre permettre augurer beau avenir '
bien, 'être top avoir voir commentaire être répondre client année dire merci service '
mauvais, 'nul produit similaire cher '
mauvais, 'fonctionner nul '
bien, 'commentaire parfaire '
bien, 'commentaire pratiquer '
bien, 'pratique tarif être stock '
mauvais, 'application bâcler finir commentaire plante minute impossible chercher produit devenir lassant donner envie commander être seul marché concurrent sembler avoir application fonctionner '
mauvais, 'plantage intempestif valoir passer Internet utiliser planter aller '
mauvais, 'inutile connexion impossible impossible connecter jour suivi commander être possible dommage '
mauvais, 'mériter étoile planter temps passer chemin aller site vouloir passer commande '
bien, 'cool cool '
mauvais, 'pourri ouvrer|ouvrir produit application fermer valoir aller site application revoir '
mauvais, 'plantage plantage fonctionner faire filtre filtre planter coup modèle téléphoner '
bien, 'bon facile avoir prendre main problème avoir signaler aller site avoir trouver chercher '
mauvais, 'crash avoir moindre consultation détail produire tentative visualisation photo produit plante insupportable '
bien, 'super venir passer commande clic reprise matériel heure livraison '
bien, 'bon application pouvoir voir être avoir technicien porté '
bien, 'adorer seul hic liste magasin retrait marchandise être jour '
bien, 'parfait super avoir problème '
mauvais, 'marche installation identification possible sélection article plantage application article long site être pratique '
bien, 'bon application faire recherche '
mauvais, 'être impossible accéder avoir panier foi|fois avoir accès manquer moitié objet être même dommage site marchand pouvoir effectuer commande '
mauvais, 'commentaire planter foi|fois '
bien, 'site bon permettre consulter disponibilité produit '
bien, 'parfait penser trouver rechercher manquer juste possibilité partager produit intéressant falloir mériter étoiler '
bien, 'pratique service avoir besoin truc prendre '
bien, 'beau faire simple intuitif diable conserver connexion être '
bien, 'bon dernier mise jour rapide bon intégration service simple fonctionnel '
neutre, 'trouver application sympathique utile trouver dommage être expliquer mot traduire exemple addition avoir bill avoir addition '
bien, 'cool cool '
bien, 'cool cool application '
bien, 'excellent commentaire cool cool '
bien, 'dico cool '
neutre, 'cool cool super '
bien, 'manquer vocabulaire faire boulot gratuit '
bien, 'cool cool '
neutre, 'cool cool '
neutre, 'cool cool '
neutre, 'être vouloir donner avoir mot dommage '
neutre, 'application être continuer voir suite étoile '
bien, 'cool cool '
bien, 'commentaire cool cool '
mauvais, 'nul merde ya pub mérite étoile '
bien, 'cool commentaire cool '
bien, 'simple excellent prendre place simple utilisation publicité rien encombrant pouvoir utiliser ligne dire parfaire '
neutre, 'commentaire bon application bémol impossible ajouter favori mot introuvable '
bien, 'rien redire commentaire super rechercher mot pouvoir aller Internet dico être complet ensemble remplir fonction être dire mériter étoile '
bien, 'pratique trouver mot avoir enlever phrase pouvoir '
neutre, 'utiliser savoir traduction être falloir utiliser mot '
bien, 'super manquer endroit pouvoir enregistrer mot favori être complet dictionnaire '
neutre, 'dico utile seul bémol être proposer expression '
bien, 'commentaire être bon dictionnaire marche connexion contenir mot avoir besoin '
bien, 'super cool cool cool '
neutre, 'pouvoir faire commentaire facile utilisation inversion anglais français français anglais rapide pouvoir être étoile manquer mot pouvoir mettre phrase entier '
neutre, 'instructif être avoir dictionnaire porter main utile parler français '
bien, 'commentaire être adorer être avoir mot falloir marquer français être anglais '
bien, 'avoir trouver bon être fort anglais '
bien, 'excellent grâce sortir angler vocabulaire été améliorer '
bien, 'super commentaire impeccable avoir besoin mot texte avoir rédiger mot être connexion '
bien, 'excellent commentaire parfait traduire texte difficulté majeur '
mauvais, 'nul commentaire trouver nul inefficace avoir mettre tablette déconner courage aller passer '
bien, 'parfait être super avoir besoin pouvoir utiliser connaître mot falloir reconnaître manquer avoir trouver rester pratique simple utilisation partir voyage être petit être volumineux '
bien, 'commentaire servir voir différence mot '
bien, 'cool cool '
bien, 'satisfaire cool cool cool '
bien, 'cool cool cool nice '
bien, 'cool cool cool nice être faire '
bien, 'cool cool phrase avoir plaire|pleuvoir mai kan '
mauvais, 'nul cesse impossible rentrer avoir trouver foi|fois être juste commercial rigoler marche même un pub '
neutre, 'commentaire trouver dire avoir avoir millier personne penser avoir '
mauvais, 'payer|payer penser avoir résumer '
bien, 'adorer être cool jeu '
bien, 'cool être cool suivre|être être avoir essayer|essayer '
bien, 'trouver personnage '
bien, 'être savoir penser '
bien, 'lent être cool '
bien, 'cool avoir dire '
mauvais, 'impossible savoir résultat essai '
bien, 'avoir '
bien, 'cool application être cool avoir pub '
mauvais, 'commentaire avoir problème mettre français jouer parler anglais '
bien, 'super '
mauvais, 'commentaire nul fait '
mauvais, 'commentaire parler français '
bien, 'super conseil avoir '
bien, 'commentaire adorer '
bien, 'commentaire deviner '
bien, 'commentaire amusant '
bien, 'commentaire '
neutre, 'super trouver dire falloir version payant '
neutre, 'mal avoir trouver être connaître commercial logiciel connaître personne avoir écrire savoir dire devoir payer|payer gâcher principe être dommage parler potion rayonnant enlever pub '
bien, 'commentaire pub '
bien, 'savoir penser devoir passer version être gros blague '
bien, 'commentaire adorer vouloir faire deviner '
bien, 'penser avoir dire cacahuète continuer dire frire continuer dire fromage continuer aller donner autre réponse parier faux dire falloir version truc être populaire être populaire '
bien, 'commentaire être avoir penser avoir grand avoir trouver suivre être truc chi '
bien, 'avoir trouver être grâce question poser parer évider trouver bout moment jeu commencer avoir être lasser mettre étoile '
mauvais, 'limiter anglais deviner personnage objet falloir être ultra connaître être deviner version gratuit impossible caler '
bien, 'bon jeu comprendre passer foi|fois avoir jouer avoir penser avoir avoir trouver dire version payant '
bien, 'être fou commentaire comprendre possible avoir trouver gens avoir mort préférer présentateur télé personnage fictif enfance fou '
bien, 'être avoir installer avoir peine suivre|être macro '
bien, 'commentaire jouer jour enfant foi|fois rester voix bon réponse adorer '
bien, 'avoir plaire|pleuvoir beau deviner avoir mettre application pouvoir deviner autre gens '
bien, 'être pouvoir faire objet super '
bien, 'avoir personnage objet '
bien, 'adorer commentaire jeu meilleur même pub être satisfaisant '
bien, 'avoir espérer deviner '
bien, 'génial application complet '
neutre, 'bloquer niveau lustre niveau devenir impossible pouvoir avancer être tout drôle penser '
bien, 'navigation longue vouloir voir description article cliquer suivre|être obliger revenir liste faire défiler article voir début liste être soûlant '
mauvais, 'recherche pouvoir rechercher vouloir outil corriger mot rapprocher '
bien, 'avoir être '
bien, 'super pratique achat vente besoin fonction pointu '
bien, 'application sympa utile vendeur suivre|être dommage pouvoir retrouver vente site évaluation '
bien, 'commentaire suivi objet '
bien, 'mal commentaire application sympa '
bien, 'top top avoir utiliser foi|fois final utiliser '
bien, 'rubrique accessible '
bien, 'bon pratique '
neutre, 'aller savoir utile savoir '
neutre, 'application éviter application améliorer fil temps '
bien, 'super original '
bien, 'meilleur présentation habituer recherche évident départ recherche avoir étranger falloir pouvoir sauvegarder préférence recherche '
bien, 'superbe '
bien, 'excellent commentaire excellent super application adorer '
bien, 'excellent '
bien, 'rien dire '
bien, 'meilleur ordinateur '
bien, 'commentaire indispensable être '
bien, 'commentaire '
mauvais, 'dernier pouvoir afficher date achat '
bien, 'commentaire pratique '
bien, 'commentaire '
bien, 'commentaire '
bien, 'commentaire '
bien, 'commentaire '
bien, 'commentaire excellent '
bien, 'commentaire super '
bien, 'commentaire parfait '
neutre, 'miniature image être bas résolution logo application faire écran '
mauvais, 'réglage option manquant falloir arrêter chercher faire application dégrader nouveau version espérer amélioration '
neutre, 'commentaire faire dernier mise jour date achat possibilité partager objet voir mail '
neutre, 'miniature revoir commentaire miniature être bas résolution être dommage passage site être nécessaire avoir résolution convenable ajout bouton résolution convenir merci '
mauvais, 'application fonctionner changement possible voir objet particulier cliquer afficher être arrêté '
bien, 'super facile application acheter chose avoir pouvoir trouver '
neutre, 'commentaire retrouver date achat objet falloir aller site principal retrouver '
bien, 'falloir augmenter capacité article suivre être '
bien, 'nouveau mise avoir jour aller super '
bien, 'commentaire être vrai plaisir utiliser zoom adaptatif refaire police être pratique page clic rendre lecture facile lire soir coucher lit bras '
bien, 'français sympa juste petit souci avoir vouloir lire être anglais possible avoir français '
mauvais, 'programme merde avoir acheter lire bouquin chercher information technique rien programme permettre trouver rapide livre être linéaire impossible retourner table matière gros merde livre être protéger '
bien, 'super pouvoir livre arriver avoir lire '
bien, 'cool application pouvoir ligner taire an vie lire histoire '
bien, 'bon application application correct lire seul petit problème changement lecture horizontal vertical provoquer changement page '
bien, 'slow '
bien, 'commentaire arriver avoir accéder site '
bien, 'pratique commentaire utile facile avoir utiliser permettre bouquin rien temps '
bien, 'commentaire être beau devoir installer '
bien, 'cool super juste chiant défiler page '
bien, 'commentaire adorer bon continuation faire bon boulot '
bien, 'commentaire livre jaune '
bien, 'top relire '
bien, 'commentaire '
bien, 'commentaire excellent '
bien, 'commentaire excellent '
bien, 'commentaire fonctionner bien beau présentation '
bien, 'commentaire adorer avoir faire aimer soir être pouvoir inter changer texte fond seul clic blanc noir choix grosseur texte marque page merci agréable '
bien, 'super être super conseiller avoir aimer livre '
bien, 'bon manquer système dossier ranger fiche appel merci explication fournir bon application '
bien, 'super pratique fluide manque juste possibilité organiser livre '
bien, 'to user boire '
mauvais, 'interface anglais changer taille texte déconseiller '
mauvais, 'dommage bloque avoir tablette '
mauvais, 'changer page repartir page super pratique simuler livre tombe réalisme '
mauvais, 'commentaire être anglais arriver mettre français '
bien, 'parfait avoir redire parfait '
bien, 'commentaire cool '
bien, 'commentaire cool '
bien, 'commentaire bon juste petit souci un livre vouloir reprendre lecture revenir page être gêner avoir comprendre truc '
mauvais, 'fonctionner '
bien, 'pratique bon '
mauvais, 'trio bonjour application lire option intéressant lecture mode portraire seul type couleur bleu soulignage seul bibliothèque thématique répertoire avoir être défilement manuel tactile délicat pas facile faire apparaître menu page blanc comparer application '
neutre, 'dommage livre être mal '
bien, 'reader permettre lire livre avoir commencer tablette continuer tablette suite '
neutre, 'commentaire aller essayer|essayer trouver bon courage '
bien, 'super bon reader '
bien, 'adorer note obliger to choix '
bien, 'commentaire parfaire '
mauvais, 'conseiller lieu mettre mettre rectangle pouvoir mettre laurer fait '
mauvais, 'commentaire pouvoir servir être nul '
bien, 'commentaire avoir dire marche être parfaire '
bien, 'parfait commentaire rien dire être gros '
bien, '
bien, 'commentaire are nice job '
mauvais, 'arriver avoir mettre commentaire aider '
bien, 'commentaire '
bien, 'in '
bien, 'super pratiquer '
neutre, 'galérer avoir mètre route '
mauvais, 'liter pouvoir conseiller genre être '
mauvais, 'voiler mettre '
mauvais, 'commentaire avoir comprendre mettre affiche être beau clavier dire application rep '
bien, 'commentaire être danger '
mauvais, 'commentaire avoir marche nul '
bien, 'conseiller '
mauvais, 'commentaire fonctionner '
mauvais, 'commentaire avoir détester servir '
mauvais, 'commentaire fonctionner '
mauvais, 'urgence '
bien, 'savoir '
neutre, 'urgence commentaire être application être sécuriser avoir message '
mauvais, 'commentaire être '
mauvais, 'commentaire '
mauvais, 'commentaire '
neutre, 'commentaire '
neutre, 'commentaire pi '
bien, 'aimer pouvoir mettre clavier autre empêcher changer clavier '
mauvais, 'commentaire suivre|être voir juste petit carré blanc avoir place ais '
neutre, 'symbole être varier marcher contre marcher tab '
bien, 'commentaire être dommage avoir couleur envoyer '
mauvais, 'rejoindre marche vouloir mettre jeu '
mauvais, 'nul faire marche nickel envoyer transformer point '
mauvais, 'commentaire marche nul '
mauvais, 'avoir clavier kan truc genre '
bien, 'commentaire être bon application être couleur être possible mettre accent '
mauvais, 'nul envoyer être un aider '
mauvais, 'marche arriver avoir servir '
mauvais, 'commentaire marcher conseiller tout '
bien, 'commentaire super choix application filtre être fonction permettre ajouter texte être super '
bien, 'exceptionnel avoir choix savoir mettre ya chose payant être avoir acheter avoir peur pouvoir essayer|essayer étoile recommandation application '
mauvais, 'choix cadrer chose payant '
bien, 'parfait commentaire application juste parfaire chercher application photo être meilleur fonctionnalité autre application effet cadre police écriture beau un autre utiliser application recommander avoir '
neutre, 'bon application simple option collage modification être limiter '
bien, 'photo mal retouche photo '
bien, 'commentaire être adorer '
bien, 'commentaire vrai gratuit pouvoir servir '
bien, 'commentaire aimer être '
bien, 'commentaire être meilleur tester '
bien, 'super commentaire super faire retouche photo '
bien, 'merveilleux commentaire super application modifier critère photo assembler photo seul perdre qualité photo '
bien, 'parfait commentaire '
bien, 'super amateur pro photo '
bien, 'commentaire trop cool '
bien, 'simple commentaire ludique pratique '
bien, 'cool super application '
bien, 'commentaire simple ludique '
bien, 'bon application '
bien, 'top super '
bien, 'commentaire '
bien, 'commentaire parfaire '
bien, 'adorer être simple utilisation fonctionnel offrir personnalisation photo secret conseil essayer|essayer comprendre causer '
bien, 'commentaire adorer bricoler '
bien, 'commentaire être parfaire '
bien, 'commentaire '
bien, ''
bien, 'commentaire '
bien, 'commentaire '
bien, 'commentaire magnifique application '
bien, 'commentaire superbe application '
bien, 'commentaire '
bien, 'commentaire aimer '
bien, 'adorer pouvoir modifier photo être effet avoir bref adorer '
bien, 'commentaire enregistrement long '
bien, 'parfait être parfaire amateur photo conseiller '
neutre, 'commentaire effet recommander être super '
bien, 'commentaire application être génial avoir rechercher '
bien, 'grand choix filtre '
bien, 'meilleur commentaire utiliser super effet possibilité être génial lenteur parfait '
bien, 'merci mise avoir jour finir connexion sembler interrompre rentrer adresse suivre|être super content '
neutre, 'commentaire pouvoir horaire direction pager consultation horaire appuyer flèche permettre changer station revenir page précédent bouton actualiser page principal fiche horaire merci '
bien, 'nouveau interface améliorer nouveau interface avoir déstabiliser départ être fonctionnel coup œil voir horaire ligne favorite '
mauvais, 'nul avoir bon horaire suivre|être arriver foi|fois retard cause application pratique application être super avoir bon horaire '
bien, 'dernier mise avoir jour merci mise jour contre être possible ajouter bouton rafraîchir page accueil '
bien, 'revoir être décider corriger nouveau page accueil être sympa '
bien, 'amélioration indéniable rapide manquer sauvegarde feuille route appel application pouvoir consulter métro '
bien, 'commentaire beau mise jour prochain étape être faire trafic temps réel avoir possibilité vérifier heure prochain tramway boire avoir ouvrir application difficile coder utile '
mauvais, 'chercher station voir temps arrivé|arrivée bus être possible mettre station favori impossible avoir raccourci pouvoir accéder devoir fermer application optimal version sembler soigné attente '
mauvais, 'commentaire minable jour horaire porter satyre venir conduire minute pied bus régulier merci '
bien, 'faire rien dire être parfaire horaire être correct être organiser '
mauvais, 'pouvoir avoir foi|fois rentrer adresse avoir erreur connexion sembler interrompre défaut être présent mise avoir jour '
neutre, 'faire bon application fiable stable faire moi|mois être impossible avoir information horaire passage bus arrêt direction application indique fonctionner autre arrêt ligne '
neutre, 'recherche application avoir potentiel rester exploitation cause répétition '
bien, 'dieu être '
bien, 'super dernier mise jour montrer être écoute rester amélioration apporter rien niveau look '
neutre, 'affichage horizontal ligne comprendre avoir supprimer petit fonctionnalité énorme terme confort coup nouveau version perdre '
neutre, 'être passer commentaire rester mémoire avoir faire '
bien, 'nouveau fonctionnalité commentaire nouveau fonctionnalité petit effort ergonomie page accueil être bon '
bien, 'commentaire forcer constater obligation passer ancien moche nouveau offrir nouveau trouver juste dommage rechercher itinéraire partir lieu trouver mise jour épater rester mémoire plan '
bien, 'top top avoir remettre notion itinéraire page accueil '
bien, 'top super dernier mise jour avoir écouter gens mise jour frôler perfection '
mauvais, 'application utile commentaire rendre application inutilisable crash ouverture revenir version précédent '
bien, 'bon dernier mettre jour trouver horaire boire être rapide '
neutre, 'mettre jour bon mise jour fluidité application rester mémoire sortir application devoir retrouver ligne bus être amélioration venir espérer reste être régler '
neutre, 'terme fonctionnalité apparaître devoir être relancer foi|fois changer programme '
mauvais, 'ras mise jour remplacer autre impossible entrer adresse connexion sembler interrompre être obligatoire bouffe mémoire horaire bus arrêt avoir besoin fonctionner mairie point exclamation rouge constant avoir foi|fois information disponible obliger utiliser autre application compléter lacune bouffer mémoire '
mauvais, 'application lent fiable problème fiabilité être lier omettre information masquer médiocrité service transport réduire pénalité contractuel '
bien, 'merci amélioration venir '
mauvais, 'commentaire faire mise avoir jour marche faire un planter temps mise jour avoir corriger connexion '
bien, 'gestion commentaire application lancement lieu revenir dernier page visualiser itinéraire plan avoir '
neutre, 'pratique amélioration dernier mise jour rester imprécision trajet tramway être oublier tarif zone '
mauvais, 'tâche application fermer appui tâche '
neutre, 'progrès amélioration notable avoir être faire pouvoir imprimer trajet suivre cour|cours route changer être avoir pouvoir être louper astuce '
bien, 'digne nom '
neutre, 'shopping commentaire être gentil réduction rubrique shopping utiliser déplacer manger frite acheter porte-clé '
mauvais, 'itinéraire fonctionner refonte avoir air top itinéraire marcher dire connexion être impossible devoir être déconnecter être cas '
bien, 'demande nouveauté être être possible mettre cas métro être retarder supprimer trafic '
mauvais, 'dernier version gros problème dernier passer perdre recherche cour|cours dé passer autre raison être problématique pouvoir être problème mauvais flag nouveau version être mettre avoir part bouton menu mot menu être bête même avoir bouton besoin préciser menu '
mauvais, 'pouvoir faire avoir faire forcing installer nouveau application être possible mettre temps erreur être survenir coup nouveau application joli super pouvoir être fonctionnel être exemple avoir arrêt bus pouvoir disposer plan sortie métro être fonctionnalité important déplacer souterrain métro coup étoile interface revoir cahier charge spécification avoir demande rajouter plan sortie métro avoir essayer|essayer chercher itinéraire manquer état trafic bus '
bien, 'commentaire être défaut exister hier novembre avoir faire remettre programme origine logiciel avoir acheter mars différent mise jour avoir détériorer fonctionnement impeccable hier tablette tab application store fonctionner '
mauvais, 'nul pouvoir installer récent mise jour '
mauvais, 'rien aller impossible être tablette '
bien, 'base étoile notification être moyen modifier supprimer commentaire application '
mauvais, 'mettre jour inutile incompétent faire semaine tablette mort marche mise jour '
bien, 'falloir être presser ouverture mise jour '
bien, 'aider être lent vouloir '
bien, 'commentaire début espérer bout moment autre autre '
mauvais, 'ras bol temps arriver connecter mise jour actualité mettre jour gonfler faire chose '
bien, 'commentaire nouveau mettre jour fonctionner '
mauvais, 'commentaire jour inutile lent être être être '
mauvais, 'noter faire moi|mois marche tablette fonctionner mise avoir jour attendre coup jeu demander connexion fonctionner virer informaticien coup utiliser jeu '
neutre, 'commentaire ais connexion être longue '
mauvais, 'commentaire avoir faire moi|mois suivre|être pouvoir faire mot passe foi|fois marche '
mauvais, 'problème serveur téléphone problème serveur téléphone fonctionner '
mauvais, 'horreur impossible connecter application mini application vierge attendre solution '
